k,#_of_exp,epochs,train_accuracy,test_accuracy
1.0,0.0,10.0,1.0,0.5325000286102295
1.0,1.0,10.0,1.0,0.5
1.0,2.0,10.0,1.0,0.5174999833106995
1.0,3.0,10.0,1.0,0.5674999952316284
1.0,4.0,10.0,0.949999988079071,0.574999988079071
2.0,0.0,10.0,1.0,0.7200000286102295
2.0,1.0,10.0,1.0,0.6274999976158142
2.0,2.0,10.0,0.949999988079071,0.7049999833106995
2.0,3.0,10.0,0.949999988079071,0.6800000071525574
2.0,4.0,10.0,0.949999988079071,0.6675000190734863
3.0,0.0,10.0,0.9333333373069763,0.8399999737739563
3.0,1.0,10.0,0.9833333492279053,0.737500011920929
3.0,2.0,10.0,0.949999988079071,0.7325000166893005
3.0,3.0,10.0,0.949999988079071,0.7975000143051147
3.0,4.0,10.0,0.8833333253860474,0.7850000262260437
4.0,0.0,10.0,0.875,0.8575000166893005
4.0,1.0,10.0,0.9624999761581421,0.7524999976158142
4.0,2.0,10.0,0.9375,0.8550000190734863
4.0,3.0,10.0,0.9624999761581421,0.8550000190734863
4.0,4.0,10.0,0.949999988079071,0.8525000214576721
5.0,0.0,10.0,0.949999988079071,0.8974999785423279
5.0,1.0,10.0,0.8999999761581421,0.8374999761581421
5.0,2.0,10.0,0.9300000071525574,0.8399999737739563
5.0,3.0,10.0,0.9300000071525574,0.8274999856948853
5.0,4.0,10.0,0.9599999785423279,0.8999999761581421
