k,#_of_exp,epochs,train_accuracy,test_accuracy,train_f1_score,test_f1_score
1.0,0.0,15.0,1.0,0.5211267471313477,1.0,0.5502831339836121
1.0,1.0,15.0,1.0,0.5117371082305908,1.0,0.5030280351638794
1.0,2.0,15.0,1.0,0.579812228679657,1.0,0.5937409996986389
1.0,3.0,15.0,1.0,0.5586854219436646,1.0,0.5771538019180298
1.0,4.0,15.0,0.949999988079071,0.5258215665817261,0.9333333373069763,0.5470269322395325
2.0,0.0,15.0,0.9750000238418579,0.7413793206214905,0.9733333587646484,0.7560020089149475
2.0,1.0,15.0,0.9750000238418579,0.610837459564209,0.9733333587646484,0.5969427227973938
2.0,2.0,15.0,0.925000011920929,0.7068965435028076,0.9233333468437195,0.7173376679420471
2.0,3.0,15.0,1.0,0.6576354503631592,1.0,0.6963282227516174
2.0,4.0,15.0,0.9750000238418579,0.7241379022598267,0.9733333587646484,0.7165902853012085
3.0,0.0,15.0,0.949999988079071,0.8056994676589966,0.9485714435577393,0.8108325600624084
3.0,1.0,15.0,0.949999988079071,0.727979302406311,0.9485714435577393,0.7287760376930237
3.0,2.0,15.0,0.949999988079071,0.7383419871330261,0.9490476250648499,0.7379027605056763
3.0,3.0,15.0,0.9833333492279053,0.7694300413131714,0.9828571677207947,0.774891197681427
3.0,4.0,15.0,0.9833333492279053,0.7849740982055664,0.9828571677207947,0.7927536368370056
4.0,0.0,15.0,0.949999988079071,0.8442623019218445,0.949404776096344,0.8571836948394775
4.0,1.0,15.0,0.9624999761581421,0.8087431788444519,0.9597222208976746,0.8134908676147461
4.0,2.0,15.0,0.987500011920929,0.7868852615356445,0.9873015880584717,0.7946845889091492
4.0,3.0,15.0,0.9125000238418579,0.7841529846191406,0.9153679609298706,0.7838151454925537
4.0,4.0,15.0,0.9125000238418579,0.8005464673042297,0.9115079641342163,0.8117672204971313
5.0,0.0,15.0,0.8999999761581421,0.8612716794013977,0.9003030061721802,0.8756744861602783
5.0,1.0,15.0,0.9300000071525574,0.8728323578834534,0.9286130666732788,0.8680275678634644
5.0,2.0,15.0,0.9399999976158142,0.8179190754890442,0.9384848475456238,0.8343839049339294
5.0,3.0,15.0,0.8899999856948853,0.849711000919342,0.8870707154273987,0.8363712430000305
5.0,4.0,15.0,0.9399999976158142,0.7601156234741211,0.9402525424957275,0.7813596129417419
6.0,0.0,15.0,0.9750000238418579,0.8619632124900818,0.9748834371566772,0.8720422983169556
6.0,1.0,15.0,0.9416666626930237,0.8343558311462402,0.9413170218467712,0.8526650667190552
6.0,2.0,15.0,0.875,0.8650306463241577,0.8752464056015015,0.8593469262123108
6.0,3.0,15.0,0.8833333253860474,0.8742331266403198,0.8850728273391724,0.8685411810874939
6.0,4.0,15.0,0.925000011920929,0.8067484498023987,0.925048291683197,0.8259899616241455
7.0,0.0,15.0,0.9285714030265808,0.8660130500793457,0.9291343688964844,0.8788704872131348
7.0,1.0,15.0,0.9428571462631226,0.9084967374801636,0.9445981383323669,0.906029462814331
7.0,2.0,15.0,0.9285714030265808,0.826797366142273,0.925882875919342,0.8302063941955566
7.0,3.0,15.0,0.9428571462631226,0.9084967374801636,0.9426144957542419,0.9064496159553528
7.0,4.0,15.0,0.9071428775787354,0.8366013169288635,0.9048855304718018,0.8737419247627258
