stage,k,#_of_exp,batch_size,epochs,train_f1_score,test_f1_score
check_full_pretrain,0.0,0.0,64.0,50.0,0.0,0.027808448299765587
check_full_pretrain,0.0,1.0,64.0,50.0,0.0,0.035890813916921616
check_full_pretrain,0.0,2.0,64.0,50.0,0.0,0.017387913540005684
check_full_pretrain,0.0,3.0,64.0,50.0,0.0,0.018130788579583168
check_full_pretrain,0.0,4.0,64.0,50.0,0.0,0.01154005341231823
check_full_pretrain,1.0,0.0,64.0,50.0,1.0,0.5520859956741333
check_full_pretrain,1.0,1.0,64.0,50.0,1.0,0.6142042279243469
check_full_pretrain,1.0,2.0,64.0,50.0,1.0,0.6665791869163513
check_full_pretrain,1.0,3.0,64.0,50.0,1.0,0.5508144497871399
check_full_pretrain,1.0,4.0,64.0,50.0,1.0,0.687224805355072
check_full_pretrain,2.0,0.0,64.0,50.0,1.0,0.7439814805984497
check_full_pretrain,2.0,1.0,64.0,50.0,1.0,0.7300681471824646
check_full_pretrain,2.0,2.0,64.0,50.0,1.0,0.7537625432014465
check_full_pretrain,2.0,3.0,64.0,50.0,1.0,0.7726183533668518
check_full_pretrain,2.0,4.0,64.0,50.0,1.0,0.7125040292739868
check_full_pretrain,3.0,0.0,64.0,50.0,0.9798319339752197,0.7988917827606201
check_full_pretrain,3.0,1.0,64.0,50.0,0.9798319339752197,0.7187274694442749
check_full_pretrain,3.0,2.0,64.0,50.0,1.0,0.8676576018333435
check_full_pretrain,3.0,3.0,64.0,50.0,1.0,0.8591136336326599
check_full_pretrain,3.0,4.0,64.0,50.0,1.0,0.8367770314216614
check_full_pretrain,4.0,0.0,64.0,50.0,0.9253034591674805,0.7625159621238708
check_full_pretrain,4.0,1.0,64.0,50.0,0.9551820755004883,0.7656176686286926
check_full_pretrain,4.0,2.0,64.0,50.0,0.970588207244873,0.8264576196670532
check_full_pretrain,4.0,3.0,64.0,50.0,0.9850606918334961,0.8525018095970154
check_full_pretrain,5.0,0.0,64.0,50.0,0.9668174982070923,0.8536911010742188
check_full_pretrain,5.0,1.0,64.0,50.0,1.0,0.8428975343704224
check_full_pretrain,5.0,2.0,64.0,50.0,1.0,0.9098379611968994
check_full_pretrain,5.0,3.0,64.0,50.0,1.0,0.8723872303962708
check_full_pretrain,5.0,4.0,64.0,50.0,0.988116443157196,0.8731865882873535
check_full_pretrain,8.0,0.0,64.0,50.0,0.9487985372543335,0.9071418642997742
check_full_pretrain,8.0,1.0,64.0,50.0,0.970934271812439,0.9247561097145081
check_full_pretrain,8.0,2.0,64.0,50.0,0.971005380153656,0.9107889533042908
check_full_pretrain,8.0,3.0,64.0,50.0,0.9776788949966431,0.9373815059661865
check_full_pretrain,8.0,4.0,64.0,50.0,0.992618203163147,0.8658114075660706
no_pretrain,0.0,0.0,64.0,50.0,0.0,0.0
no_pretrain,0.0,1.0,64.0,50.0,0.0,0.0
no_pretrain,0.0,2.0,64.0,50.0,0.0,0.0
no_pretrain,0.0,3.0,64.0,50.0,0.0,0.0
no_pretrain,0.0,4.0,64.0,50.0,0.0,0.0
no_pretrain,1.0,0.0,64.0,50.0,1.0,0.513960599899292
no_pretrain,1.0,1.0,64.0,50.0,1.0,0.5689745545387268
no_pretrain,1.0,2.0,64.0,50.0,1.0,0.5336883068084717
no_pretrain,1.0,3.0,64.0,50.0,1.0,0.49448442459106445
no_pretrain,1.0,4.0,64.0,50.0,1.0,0.5562763810157776
no_pretrain,2.0,0.0,64.0,50.0,0.9686274528503418,0.7233163118362427
no_pretrain,2.0,1.0,64.0,50.0,1.0,0.6888912916183472
no_pretrain,2.0,2.0,64.0,50.0,1.0,0.6996902227401733
no_pretrain,2.0,3.0,64.0,50.0,1.0,0.7129617929458618
no_pretrain,2.0,4.0,64.0,50.0,1.0,0.6247308850288391
no_pretrain,3.0,0.0,64.0,50.0,1.0,0.7317808270454407
no_pretrain,3.0,1.0,64.0,50.0,0.9596638679504395,0.7104121446609497
no_pretrain,3.0,2.0,64.0,50.0,1.0,0.7696533799171448
no_pretrain,3.0,3.0,64.0,50.0,0.9798319339752197,0.8143947124481201
no_pretrain,3.0,4.0,64.0,50.0,0.9596638679504395,0.7297808527946472
no_pretrain,4.0,0.0,64.0,50.0,0.8752737641334534,0.7101004123687744
no_pretrain,4.0,1.0,64.0,50.0,0.9564892649650574,0.6726230382919312
no_pretrain,4.0,2.0,64.0,50.0,0.9701213836669922,0.7748659253120422
no_pretrain,4.0,3.0,64.0,50.0,0.8749639391899109,0.7695096135139465
no_pretrain,4.0,4.0,64.0,50.0,0.9701213836669922,0.7021030187606812
no_pretrain,5.0,0.0,64.0,50.0,0.9762329459190369,0.8368768692016602
no_pretrain,5.0,1.0,64.0,50.0,0.988116443157196,0.8207131624221802
no_pretrain,5.0,2.0,64.0,50.0,0.9627153873443604,0.8422722816467285
no_pretrain,5.0,3.0,64.0,50.0,0.9762329459190369,0.8579208850860596
no_pretrain,5.0,4.0,64.0,50.0,0.9627153873443604,0.8062588572502136
no_pretrain,8.0,0.0,64.0,50.0,0.9778546690940857,0.8587489724159241
no_pretrain,8.0,1.0,64.0,50.0,0.9635332822799683,0.9064462184906006
no_pretrain,8.0,2.0,64.0,50.0,0.9479947686195374,0.9240074753761292
no_pretrain,8.0,3.0,64.0,50.0,0.9778546690940857,0.8893221616744995
no_pretrain,8.0,4.0,64.0,50.0,0.9704728722572327,0.8833456635475159
