stage,k,#_of_exp,batch_size,epochs,train_f1_score,test_f1_score
check_clip_RN50,1.0,0.0,64.0,50.0,1.0,0.503639817237854
check_clip_RN50,1.0,1.0,64.0,50.0,1.0,0.6034413576126099
check_clip_RN50,1.0,2.0,64.0,50.0,0.9215686321258545,0.4838622510433197
check_clip_RN50,1.0,3.0,64.0,50.0,0.9215686321258545,0.5936056971549988
check_clip_RN50,1.0,4.0,64.0,50.0,1.0,0.4652186334133148
check_clip_RN50,2.0,0.0,64.0,50.0,0.9098039269447327,0.5802128911018372
check_clip,2.0,0.0,64.0,30.0,0.9098039269447327,0.628082811832428
check_clip_RN50,2.0,1.0,64.0,50.0,0.9686274528503418,0.6722232699394226
check_clip_RN50,2.0,2.0,64.0,50.0,0.9156862497329712,0.6369451880455017
check_clip_RN50,2.0,3.0,64.0,50.0,0.9411764740943909,0.5671942830085754
check_clip_RN50,2.0,4.0,64.0,50.0,0.8450980186462402,0.5434847474098206
check_clip_RN50,3.0,0.0,64.0,50.0,0.8795518279075623,0.6908100843429565
check_clip,3.0,0.0,64.0,30.0,0.8584033846855164,0.7045144438743591
check_clip_RN50,3.0,1.0,64.0,50.0,0.8997198939323425,0.680413007736206
check_clip_RN50,3.0,2.0,64.0,50.0,0.8413165211677551,0.5985230207443237
check_clip_RN50,3.0,3.0,64.0,50.0,0.8943977355957031,0.707248330116272
check_clip_RN50,3.0,4.0,64.0,50.0,0.873669445514679,0.5809860229492188
check_clip_RN50,4.0,0.0,64.0,50.0,0.6635557413101196,0.6700092554092407
check_clip,4.0,0.0,64.0,30.0,0.6235761046409607,0.6300677061080933
check_clip_RN50,4.0,1.0,64.0,50.0,0.8060690760612488,0.6474477052688599
check_clip_RN50,4.0,2.0,64.0,50.0,0.7396061420440674,0.5047584176063538
check_clip_RN50,4.0,3.0,64.0,50.0,0.7259103655815125,0.6880549788475037
check_clip_RN50,4.0,4.0,64.0,50.0,0.6846405267715454,0.5607135891914368
check_clip_RN50,5.0,0.0,64.0,50.0,0.8340006470680237,0.7914865016937256
check_clip_RN50,5.0,1.0,64.0,50.0,0.9040107131004333,0.771331787109375
check_clip_RN50,5.0,2.0,64.0,50.0,0.836266040802002,0.7300307750701904
check_clip_RN50,5.0,3.0,64.0,50.0,0.8861792087554932,0.8357723951339722
