,k,stage,mean_f1_score,std_f1_score
0,0.0,no_pretrain,0.0,0.0
1,1.0,no_pretrain,0.5334768533706665,0.030336626432848183
2,2.0,no_pretrain,0.6899181008338928,0.03870521299657091
3,3.0,no_pretrain,0.7512043833732605,0.0413328927855897
4,4.0,no_pretrain,0.725840401649475,0.044592040789101756
5,5.0,no_pretrain,0.8328084111213684,0.01992440335964747
6,8.0,no_pretrain,0.8923740983009338,0.024597617536385348
0,0.0,check_full_pretrain,0.0221516035497188,0.009646637832577463
1,1.0,check_full_pretrain,0.6141817331314087,0.06315076657853792
2,2.0,check_full_pretrain,0.7425869107246399,0.022860590163866084
3,3.0,check_full_pretrain,0.816233503818512,0.06064928265144232
4,4.0,check_full_pretrain,0.801773265004158,0.04483698466048346
5,5.0,check_full_pretrain,0.8804000830650329,0.025508037269078528
6,8.0,check_full_pretrain,0.909175968170166,0.027044027015633156
0,1.0,check_clip_RN50,0.5299535512924194,0.06414725929848128
1,2.0,check_clip_RN50,0.6000120759010314,0.053016189585173505
2,3.0,check_clip_RN50,0.6515960931777954,0.05759309025229822
3,4.0,check_clip_RN50,0.6141967892646789,0.07828297522770769
4,5.0,check_clip_RN50,0.765835702419281,0.05273188390112902
5,8.0,check_clip_RN50,0.8926397800445557,0.042923847443874986
0,1.0,check_clip_ViT-B/16,0.5165894269943238,0.10251804344480557
1,2.0,check_clip_ViT-B/16,0.6458260178565979,0.06278656205653053
2,3.0,check_clip_ViT-B/16,0.7536950945854187,0.0373559295321106
3,4.0,check_clip_ViT-B/16,0.7270783424377442,0.052821112367101956
4,5.0,check_clip_ViT-B/16,0.841405737400055,0.03366763590619111
5,8.0,check_clip_ViT-B/16,0.9076741576194763,0.027768390834132132
0,0.0,check_part_pretrain_inaturalist,0.11774279177188869,0.0
1,1.0,check_part_pretrain_inaturalist,0.5121539930502573,0.04918586940235138
2,2.0,check_part_pretrain_inaturalist,0.6467811465263367,0.05119026397126445
3,3.0,check_part_pretrain_inaturalist,0.7202272216478983,0.02682976388582462
4,4.0,check_part_pretrain_inaturalist,0.7666575113932291,0.03326297497596594
5,5.0,check_part_pretrain_inaturalist,0.8432889978090922,0.022970691874210497
6,8.0,check_part_pretrain_inaturalist,0.9219171007474264,0.03151112056258966
0,0.0,check_part_pretrain_clip,0.23007601499557487,0.0
1,1.0,check_part_pretrain_clip,0.5458419919013977,0.08698937339053346
2,2.0,check_part_pretrain_clip,0.685684859752655,0.038449929706078
3,3.0,check_part_pretrain_clip,0.7666634122530619,0.05390386590944961
4,4.0,check_part_pretrain_clip,0.7713743448257446,0.020721911592204333
5,5.0,check_part_pretrain_clip,0.8658639192581177,0.015470114578510465
6,8.0,check_part_pretrain_clip,0.905006488164266,0.054242500334563216
