,k,stage,mean_f1_score,std_f1_score
0,0.0,check_full_pretrain,0.0221516035497188,0.009646637832577463
1,1.0,check_full_pretrain,0.6141817331314087,0.06315076657853792
2,2.0,check_full_pretrain,0.7425869107246399,0.022860590163866084
3,3.0,check_full_pretrain,0.816233503818512,0.06064928265144232
4,4.0,check_full_pretrain,0.801773265004158,0.04483698466048346
5,5.0,check_full_pretrain,0.8704000830650329,0.025508037269078528
6,8.0,check_full_pretrain,0.909175968170166,0.027044027015633156
0,0.0,no_pretrain,0.0,0.0
1,1.0,no_pretrain,0.5334768533706665,0.030336626432848183
2,2.0,no_pretrain,0.6899181008338928,0.03870521299657091
3,3.0,no_pretrain,0.7512043833732605,0.0413328927855897
4,4.0,no_pretrain,0.725840401649475,0.044592040789101756
5,5.0,no_pretrain,0.8328084111213684,0.01992440335964747
6,8.0,no_pretrain,0.8923740983009338,0.024597617536385348
